Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~power_project.PrjPCB|ReportField=ProjectFullPath~C:\Users\Ryan Castle\Documents\git_repos\podiv-altium\src\prj\power_project.PrjPCB|ReportField=Title~Copy of Bill of Materials For Project [power_project.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~9:51:28 PM|ReportField=ReportDate~12/30/2018|ReportField=ReportDateTime~12/30/2018 9:51:28 PM|ReportField=OutputName~Copy of Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~92|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~97bda90b260e62c3640916df0abe6e07ceb4acca|ReportField=revision~A|ReportField=sheetnumber~=SheetNumber|ReportField=Address1~133 Engineering Research|ReportField=Address2~Building|ReportField=Address3~Madison, WI 53715|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/30/2018|ReportField=CurrentTime~9:48:12 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Ryan Castle\Documents\git_repos\podiv-altium\src\prj\sch\power_CTL.schdoc|ReportField=DocumentName~power_CTL.schdoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Ryan Castle|ReportField=Engineer~Ryan Castle|ReportField=ImagePath~|ReportField=ModifiedDate~12/21/2018|ReportField=Organization~Badgerloop|ReportField=ProjectName~power_project.PrjPCB|ReportField=Rule~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~power_CTL.schdoc|ReportField=DataSourceFileName~power_project.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Ryan Castle\Documents\git_repos\podiv-altium\src\prj\power_project.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1µF|CAP CER 1UF 50V X5R 0603|C1, C11, C14|SMD-0603C|GRM188R61H105KAALD|3
2|10µF|CAP CER 10UF 50V X5R 1206|C2, C4|SMD-1206C|GRM31CR61H106KA12L|2
3|1µF|CAP CER 1UF 50V X7R 0805|C3, C5, C28|SMD-0805C|GCJ21BR71H105KA01L|3
4|0.22µF|CAP CER 0.22UF 25V X7R 0603|C6, C7|SMD-0603C|GCJ188R71E224KA12D|2
5|4.7µF|CAP CER 4.7UF 25V X5R 0603|C8, C15|SMD-0603C|GRM188R61E475KE11D|2
6|47µF|CAP CER 47UF 10V X5R 1206|C9, C10, C16, C17|SMD-1206C|GRM31CR61A476ME15L|4
7|4.7pF|CAP CER 4.7PF 50V NP0 0603|C12, C13|SMD-0603C|GRM1885C1H4R7CA01D|2
8|0.047µF|CAP CER 0.047UF 16V X7R 0402|C18, C19, C20, C21|SMD-0402C|GCM155R71C473KA37D|4
9|10000pF|CAP CER 10000PF 25V X7R 0603|C22, C23|SMD-0603C|GRM188R71E103KA01D|2
10|4.7µF|CAP CER 4.7UF 50V X5R 0805|C24|SMD-0805C|GRM21BR61H475KE51L|1
11|22uF|CAP CER 10000PF 250V X7T 0805|C25, C26|SMD-0805C|GC321AD72E103KX01D|2
12|0.10µF|CAP CER 0.1UF 50V X7R 0805|C27, C29|SMD-0805C|GCD21BR71H104KA01L|2
13|CMJ2000|DIODE CURRENT LIMITING SINGLE SM|CLD1, CLD2, CLD3|SODFL350X80-2N|DIODE Current Limiting Single SM|3
14|Diode General Purpose|DIODE GEN PURP 100V 150MA SOD123|D1|Diode General Purpose|Diode General Purpose|1
15|N-MOS|MOSFET N-CH 60V 200MA SOT23-3|FET1, FET2|SOT95P240X110-3N|N-MOS Enhancement Mode|2
16|D Connector 15|Receptacle Assembly, 15 Position, Right Angle|J1|DSUB1.385-2H15|D Connector 15|1
17|D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J2|DSUB1.385-2H9|D Connector 9|1
18|IND 1.0uH 5.48x5.28x3.1mm 5mOhm ESR|XFL5030-102ME|L1, L2|INDC5649X31N|IND 1.0uH 5.48x5.28x3.1mm 5mOhm ESR|2
19|GREEN 0603||LED1, LED2|LED 0603 GREEN|LED GREEN 0603|2
20|LED RED 0603|Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)|LED3|LED 0603 RED|LED RED 0603|1
