Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~processor_project.PrjPCB|ReportField=ProjectFullPath~C:\Users\Ryan Castle\Documents\git_repos\podiv-altium\src\prj\processor_project.PrjPCB|ReportField=Title~Bill of Materials For Project [processor_project.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:44:01 PM|ReportField=ReportDate~10/3/2018|ReportField=ReportDateTime~10/3/2018 10:44:01 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~13|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~ba771d2c85c38e92b24bc56aa86638b5be67ffac|ReportField=Address1~133 Engineering Research|ReportField=Address2~Building|ReportField=Address3~Madison, WI 53715|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/3/2018|ReportField=CurrentTime~10:43:57 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Ryan Castle\Documents\git_repos\podiv-altium\src\prj\sch\processor_main_connector.SchDoc|ReportField=DocumentName~processor_main_connector.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/3/2018|ReportField=Organization~Badgerloop|ReportField=ProjectName~processor_project.PrjPCB|ReportField=Revision~A|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~processor_main_connector.schdoc|ReportField=DataSourceFileName~processor_project.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Ryan Castle\Documents\git_repos\podiv-altium\src\prj\processor_project.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|TP||[NoValue], *?|Test Point|TP|2
2|0.10µF|CAP CER 0.1UF 100V X7R 0805|C?|SMD-0805C|GCJ21BR72A104KA01L|1
3|D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J?|DSUB1.385-2H9|D Connector 9|1
4|D Connector 15|Receptacle Assembly, 15 Position, Right Angle|J?|DSUB1.385-2H15|D Connector 15|1
5|D Connector 25|Receptacle Assembly, 25 Position, Right Angle|J?|DSUB1.385-2H25A|D Connector 25|1
6|LED GREEN 0603||LED, LED?|LED 0603 GREEN|LED GREEN 0603|2
7|Header 2|Header, 2-Pin|P?|Pin Header 1x2 TH Pitch 2.54mm|Header 2|1
8|120|RES SMD 120 OHM 5% 1/10W 0402|R?|SMD-0402-RES|ERJ-2GEJ121X|1
9|130|RES SMD 130 OHM 5% 1/10W 0402|R?|SMD-0402-RES|ERJ-2GEJ131X|2
10|SN65HVD256|IC TXRX CAN 5V HS 8SOIC|U|SOIC127P630X175-8N|SN65HVD256|1
